company_name,date_of_registration,month_name,state,roc,category,class,company_type,activity_code,activity_description
ANTON LOGISTICS PRIVATE LIMITED  ,19/04/21,Apr-21,Tamil Nadu,RoC-Chennai,Company limited by Shares,Private,Non-govt company,63030,"Transport, storage and Communications"
TOURNAFEST GAMING PRIVATE LIMITED  ,29/04/21,Apr-21,Rajasthan,RoC-Jaipur,Company limited by Shares,Private,Non-govt company,72900,Business Services
LINGOWORLD TRANSLATION AND INTERPRETATION SERVICES PRIVATE LIMITED ,19/04/21,Apr-21,Maharashtra,RoC-Mumbai,Company limited by Shares,Private,Non-govt company,72900,Business Services
SCT AGARBATTI PRODUCER COMPANY LIMITED  ,19/04/21,Apr-21,Bihar,RoC-Patna,Company limited by Shares,Private,Non-govt company,1100,Agriculture and Allied Activities
PUDUKUDI PRIVATE LIMITED  ,19/04/21,Apr-21,Tamil Nadu,RoC-Chennai,Company limited by Shares,Private,Non-govt company,52609,Trading
UNITEDBEES AGTECH PRIVATE LIMITED  ,29/04/21,Apr-21,Maharashtra,RoC-Pune,Company limited by Shares,Private,Non-govt company,1110,Agriculture and Allied Activities
RSGV MANDK PRIVATE LIMITED  ,19/04/21,Apr-21,Haryana,RoC-Delhi,Company limited by Shares,Private,Non-govt company,51909,Trading
MEDWORKS INDIA PRIVATE LIMITED  ,19/04/21,Apr-21,Maharashtra,RoC-Mumbai,Company limited by Shares,Private,Non-govt company,51909,Trading
OSA TECHNOLOGY PRIVATE LIMITED  ,23/04/21,Apr-21,Uttar Pradesh,RoC-Kanpur,Company limited by Shares,Private,Non-govt company,52590,Trading
WAVETECH BUSINESS SOLUTION PRIVATE LIMITED ,19/04/21,Apr-21,Madhya Pradesh,RoC-Gwalior,Company limited by Shares,Private,Non-govt company,72900,Business Services
STENCARE MOLECULES PRIVATE LIMITED  ,19/04/21,Apr-21,Uttar Pradesh,RoC-Kanpur,Company limited by Shares,Private,Non-govt company,24299,"Manufacturing (Metals & Chemicals, and products thereof)"
NAIKIN INFORMATION TECHNOLOGY PRIVATE LIMITED ,19/04/21,Apr-21,Madhya Pradesh,RoC-Gwalior,Company limited by Shares,Private,Non-govt company,72900,Business Services
ANANT BHOOMI SHOP OWNERS ASSOCIATION  ,19/04/21,Apr-21,Gujarat,RoC-Ahmedabad,Company limited by Shares,Private,Non-govt company,85300,"Community, personal & Social Services"
AB14 FASHION PRIVATE LIMITED,19/04/21,Apr-21,Uttar Pradesh,RoC-Kanpur,Company limited by Shares,Private,Non-govt company,18109,Manufacturing (Textiles)
SCOUTING BRILLIANCE PRIVATE LIMITED  ,19/04/21,Apr-21,Karnataka,RoC-Bangalore,Company limited by Shares,Private,Non-govt company,72900,Business Services
BOB MARLEY FOOTBALL CLUB PRIVATE LIMITED  ,26/04/21,Apr-21,Madhya Pradesh,RoC-Gwalior,Company limited by Shares,Private,Non-govt company,92419,"Community, personal & Social Services"
FARM CLAN DEVELOPER PRIVATE LIMITED  ,29/04/21,Apr-21,Haryana,RoC-Delhi,Company limited by Shares,Private,Non-govt company,45202,Construction
MAGIS VALOR PRIVATE LIMITED  ,19/04/21,Apr-21,Karnataka,RoC-Bangalore,Company limited by Shares,Private,Non-govt company,72900,Business Services
TAXFYLING INDIA PRIVATE LIMITED  ,19/04/21,Apr-21,Maharashtra,RoC-Mumbai,Company limited by Shares,Private,Non-govt company,74999,Business Services
VIKRAM MEHTA DESIGN STUDIO PRIVATE LIMITED ,19/04/21,Apr-21,Karnataka,RoC-Bangalore,Company limited by Shares,Private,Non-govt company,51909,Trading
RAIMAS PHARMACEUTICAL PRIVATE LIMITED  ,29/04/21,Apr-21,Uttar Pradesh,RoC-Kanpur,Company limited by Shares,Private,Non-govt company,24290,"Manufacturing (Metals & Chemicals, and products thereof)"
ANGUL FARMERS PRODUCER COMPANY LIMITED  ,23/04/21,Apr-21,Orissa,RoC-Cuttack,Company limited by Shares,Private,Non-govt company,1400,Agriculture and Allied Activities
ELECTRUM IT SOLUTIONS PRIVATE LIMITED  ,19/04/21,Apr-21,Gujarat,RoC-Ahmedabad,Company limited by Shares,Private,Non-govt company,72900,Business Services
ANDROMEDA TRAVEL SOLUTIONS PRIVATE LIMITED ,19/04/21,Apr-21,Delhi,RoC-Delhi,Company limited by Shares,Private,Non-govt company,63030,"Transport, storage and Communications"
SINGH AND BHUNIYA INDUSTRIALIST PRIVATE LIMITED ,19/04/21,Apr-21,West Bengal,RoC-Kolkata,Company limited by Shares,Private,Non-govt company,45309,Construction
SWARNPRABHAS PRIVATE LIMITED  ,19/04/21,Apr-21,Maharashtra,RoC-Pune,Company limited by Shares,Private,Non-govt company,92199,"Community, personal & Social Services"
HEFTIG DIGITAL SERVICES PRIVATE LIMITED  ,19/04/21,Apr-21,Uttar Pradesh,RoC-Kanpur,Company limited by Shares,Private,Non-govt company,72900,Business Services
SEREIN RESOURCES & SERVICES PRIVATE LIMITED ,29/04/21,Apr-21,Uttar Pradesh,RoC-Kanpur,Company limited by Shares,Private,Non-govt company,72900,Business Services
RENUKA TELECOMMUNICATIONS AND BROADCASTING PRIVATE LIMITED ,19/04/21,Apr-21,Andhra Pradesh,RoC-Vijayawada,Company limited by Shares,Private,Non-govt company,64200,"Transport, storage and Communications"
VEBLOANS & PROJECTS ADVISORS PRIVATE LIMITED ,21/04/21,Apr-21,Maharashtra,RoC-Mumbai,Company limited by Shares,Private,Non-govt company,74999,Business Services
AAYU BUILD-TECH PRIVATE LIMITED  ,21/04/21,Apr-21,Gujarat,RoC-Ahmedabad,Company limited by Shares,Private,Non-govt company,26999,"Manufacturing (Metals & Chemicals, and products thereof)"
SOLVING WEARABLES PRIVATE LIMITED  ,26/04/21,Apr-21,Delhi,RoC-Delhi,Company limited by Shares,Private,Non-govt company,18109,Manufacturing (Textiles)
JITOSHI TECHNOLOGY PRIVATE LIMITED  ,26/04/21,Apr-21,Delhi,RoC-Delhi,Company limited by Shares,Private,Non-govt company,72200,Business Services
AMERALD CARE PRIVATE LIMITED  ,26/04/21,Apr-21,Karnataka,RoC-Bangalore,Company limited by Shares,Private,Non-govt company,74999,Business Services
PIKMATIC CREATIONS PRIVATE LIMITED  ,21/04/21,Apr-21,Karnataka,RoC-Bangalore,Company limited by Shares,Private,Non-govt company,72900,Business Services
GEOSOL INFRAPROJECTS PRIVATE LIMITED  ,30/04/21,Apr-21,Tamil Nadu,RoC-Chennai,Company limited by Shares,Private,Non-govt company,45400,Construction
MS PATEL BEVERAGES PRIVATE LIMITED  ,30/04/21,Apr-21,Haryana,RoC-Delhi,Company limited by Shares,Private,Non-govt company,15400,Manufacturing (Food stuffs)
QCS FOOD CERT PRIVATE LIMITED  ,21/04/21,Apr-21,Rajasthan,RoC-Jaipur,Company limited by Shares,Private,Non-govt company,74999,Business Services
COLDEST PRIVATE LIMITED  ,19/04/21,Apr-21,Himachal Pradesh,RoC-HimachalPradesh,Company limited by Shares,Private,Non-govt company,25209,"Manufacturing (Metals & Chemicals, and products thereof)"
ALMATTI AGRO PRODUCER COMPANY LIMITED  ,30/04/21,Apr-21,Karnataka,RoC-Bangalore,Company limited by Shares,Private,Non-govt company,1100,Agriculture and Allied Activities
